replication,SCRAM
1,V014740861M10060798500012
1,V013000008S95080000460011
1,V019900008S10081290090012
1,V014530008S10381725960012
1,V012200008S50080987510013
1,V011000008S93080683840012
1,V017300008S41080742620013
1,V011100008S96080464770011
1,V010400008S57080489180013
1,V010130009S54391370180011
1,V017500008S50080913510011
1,V011400008S10080279200012
1,V015700008S50080499610012
1,V013230008S51380624900013
1,V013930987M71420511200013
1,V014800008S32081951490011
1,V014100008S13080848630012
1,V016800008S13080372530012
1,V016940006S30461480160011
1,V017100008S13080628930011
1,V011300008S76080397470013
1,V016100008S10081137980011
1,V017430002S13320898390011
1,V017000008S74080165260012
1,V012500008S31080152120012
1,V019400008S34080879060013
1,V016800008S14080607060011
1,V019200008S96080391870011
1,V012800008S13080057630013
1,V010700008S41080265620013
1,V014400009S90090604360011
1,V013440004S90440883090011
1,V017900009S30090893730013
1,V013100009S30090730640012
1,V010100009S10090622100012
1,V018600009S90090741070011
1,V019300009S90090025770013
1,V016500009S11090580980013
1,V017400009S90090669080012
1,V017400009S90090487280012
1,V016700009S50090507250011
1,V019800009S10090708400011
1,V013100009S10090304220012
1,V018000009S90090574670012
1,V013700009S10090402510013
1,V017600009S10090109100012
1,V013800009S30090562420011
1,V010300009S70090476650011
1,V015850004S78540012180013
1,V012700009S10090498610011
1,V015500009S30090534440012
1,V010500009S10090335810012
1,V015400009S30090362640013
1,V013600009S50090817940012
1,V016600009S11090489980012
1,V017800009S31090907390011
1,V014500009S51090759790011
1,V015040006S30461772750011
1,V014500009S10090570710012
1,V012400009S30090027840013
1,V016300009S11090759980012
1,V016700009S10090716320011
1,V016700009S10090756300013
1,V012900009S10090674120012
1,V017300009S90090768170012
1,V018100009S30090614730013
1,V014200009S10090679710013
1,V011900009S10090692210012
1,V010500009S10090537600013
1,V014200009S10090216120013
1,V018740907M10110289100012
1,V012800009S30090928730012
1,V018540004S90440759980012
1,V017800009S90090411060013
1,V016200009S10090125400013
1,V010400009S30090862140013
1,V013900009S10090574220012
1,V014410464M71330807420011
