method,state,mse,rmse,bias,squared_bias,coverage,theta_hat_mean,theta_true,n_state_sample_mean,state_abbr,error_mean
NSB,56,0.001079279328430158,0.03285238695179024,0.027310496172293107,7.458632011768364e-4,1,0.34326653885169467,0.3159560426794016,76,WY,0.027310496172293086
SB,01,0.0018383987386891441,0.042876552318127724,-0.009350064575229227,8.74237075609565e-5,0.9,0.35611885651802505,0.3654689210932543,98,AL,-0.009350064575229244
SB,04,0.0011112460769841673,0.03333535775995463,0.01814707439125281,3.2931630896166356e-4,0.9,0.3723445240969062,0.3541974497056534,190,AZ,0.018147074391252793
SB,05,0.0018374815128029214,0.04286585485911743,0.006719855928389809,4.515646369831566e-5,0.9,0.3183371813388663,0.3116173254104765,88,AR,0.006719855928389806
SB,06,0.0010684605063597218,0.03268731415028959,-0.013234274718453643,1.7514602732350126e-4,0.7,0.43040540567224805,0.4436396803907017,473,CA,-0.01323427471845362
SB,08,7.407954329390266e-4,0.02721755743888541,-0.00922309903638387,8.506555583494507e-5,1,0.3351387020588964,0.34436180109528025,175,CO,-0.009223099036383853
SB,09,0.0028768077504666492,0.053635881184768926,0.01128669074677841,1.273893880134134e-4,0.9,0.4173927895532944,0.406106098806516,103,CT,0.011286690746778405
SB,10,6.442722212447103e-4,0.025382518024118693,0.005092794913331094,2.593656002925107e-5,1,0.3672322256985023,0.3621394307851712,125,DE,0.005092794913331089
SB,11,0.0035759166184185396,0.05979896837252746,0.054426883060413905,0.0029622855996719703,1,0.3816532901632077,0.32722640710279377,115,DC,0.05442688306041393
SB,12,0.0014383908523908342,0.03792612361408471,-0.014524412319648855,2.1095855323116742e-4,0.6,0.3968016460321941,0.41132605835184294,263,FL,-0.01452441231964885
SB,13,0.0031099514124012856,0.05576693834523539,0.024226773035965127,5.86936531736167e-4,0.6,0.4283392702470953,0.4041124972111302,176,GA,0.0242267730359651
SB,16,0.0023772719085964193,0.04875727544271131,0.04391702630385198,0.0019287051993732269,1,0.3187812083956488,0.2748641820917968,148,ID,0.04391702630385197
SB,17,0.0035491557195645425,0.05957479097373773,0.012736997802084798,1.6223111301031298e-4,0.3,0.38777539329277444,0.3750383954906896,155,IL,0.012736997802084815
SB,18,0.0016600354120738115,0.04074353215019301,-0.013818176589211173,1.909420042506237e-4,1,0.35730824454429305,0.37112642113350425,115,IN,-0.013818176589211195
SB,19,0.0015393955014266739,0.03923513095972376,0.032179916404821554,0.0010355470198213034,0.9,0.3187421164787847,0.28656220007396316,114,IA,0.03217991640482154
SB,20,0.002000035410226819,0.04472175544661478,0.02440920627077653,5.958093507693162e-4,0.8,0.3129657546854259,0.2885565484146494,103,KS,0.02440920627077653
SB,21,0.0014054197622750755,0.037488928529301496,-0.012028686930503064,1.4468930927205521e-4,1,0.3702844210914382,0.3823131080219413,113,KY,-0.012028686930503074
SB,22,0.0018027373141237203,0.04245865417230886,-0.032098286202938746,0.001030299977165768,0.9,0.4010076260114159,0.4331059122143546,86,LA,-0.03209828620293875
SB,23,0.0019104731718027146,0.04370895985725026,-0.01933518843831346,3.7384951194509053e-4,1,0.3158631569340637,0.33519834537237714,114,ME,-0.019335188438313444
SB,24,0.002145701660666005,0.04632171910309466,-0.004229773029110989,1.789097987779475e-5,0.9,0.3938872502666499,0.3981170232957609,162,MD,-0.004229773029110984
SB,25,7.406738985943252e-4,0.02721532470124737,-0.016317775068071937,2.662697831721901e-4,1,0.4089319262673234,0.4252497013353953,186,MA,-0.016317775068071916
SB,26,0.0014406271020188655,0.03795559381723418,-0.012204314485866886,1.489452920699403e-4,0.8,0.4196368626549685,0.4318411771408354,195,MI,-0.012204314485866896
SB,27,0.0018920905720032943,0.043498167455690524,-0.0036678806130309325,1.3453348191448169e-5,0.9,0.33429901970819503,0.33796690032122595,145,MN,-0.003667880613030916
SB,28,0.0020837211633296425,0.04564779472580951,0.006388640766448961,4.081473084273357e-5,0.9,0.3665433928973234,0.36015475213087444,84,MS,0.006388640766448961
SB,29,0.001504991511201079,0.03879422007465905,0.01394673850187116,1.945115148395754e-4,0.9,0.33585823201033294,0.32191149350846177,114,MO,0.01394673850187117
SB,30,7.351478689537423e-4,0.027113610400567135,0.019161895172208933,3.67178226590724e-4,1,0.3108894866308241,0.29172759145861515,118,MT,0.019161895172208954
SB,31,0.001343721153707601,0.03665680228426371,0.031285730484327215,9.787969319379611e-4,1,0.327422777464049,0.2961370469797218,112,NE,0.0312857304843272
SB,32,0.0038728405369887657,0.062232150348423325,-0.05382209329499726,0.0028968177266553885,0.8,0.4290483230495963,0.48287041634459354,116,NV,-0.053822093294997264
SB,33,6.39561258528225e-4,0.02528954840498788,-0.011485951572685366,1.3192708353007343e-4,1,0.3376037799482613,0.34908973152094663,135,NH,-0.011485951572685338
SB,34,0.0018173662767666209,0.0426305791277414,-0.012027834855199742,1.446688113039578e-4,0.9,0.45770024589008657,0.4697280807452863,135,NJ,-0.01202783485519976
SB,35,0.00121838494822001,0.034905371337661056,-0.0030923744104698393,9.562779494528685e-6,1,0.3941826635915639,0.39727503800203373,126,NM,-0.0030923744104698336
SB,36,0.002436288467652398,0.04935877295529537,-0.01595371612570138,2.5452105821946425e-4,0.5,0.42739620694363,0.4433499230693314,168,NY,-0.0159537161257014
SB,37,0.004010260095162739,0.06332661442997517,0.010368603888110237,1.0750794658853473e-4,0.3,0.33067793908944465,0.3203093352013344,139,NC,0.010368603888110228
SB,38,5.292546675910528e-4,0.023005535585833528,0.01471479263291262,2.1652512222961954e-4,1,0.3259890831619581,0.3112742905290455,77,ND,0.014714792632912643
SB,39,0.001813134332672079,0.042580915122529706,-0.029190690303107985,8.520964003719626e-4,0.6,0.30994435807459947,0.33913504837770747,128,OH,-0.029190690303108002
SB,40,0.002267268406391607,0.047615841968735646,-0.008841998845581183,7.818094358525899e-5,0.9,0.3252126517193533,0.3340546505649345,98,OK,-0.008841998845581178
SB,41,0.0027069318344159965,0.05202818307817405,-0.011037808650925112,1.2183321981443724e-4,0.9,0.36314814758227765,0.3741859562332028,163,OR,-0.01103780865092513
SB,42,0.003298440489021774,0.05743205106055132,-0.004745662811525092,2.2521315520692242e-5,0.7,0.37929327999807816,0.38403894280960327,182,PA,-0.004745662811525109
SB,44,3.165521210069835e-4,0.017791911673762983,-0.003022773680496077,9.137160723499799e-6,1,0.3705139481578803,0.3735367218383764,89,RI,-0.0030227736804960825
SB,45,0.00240746641635167,0.04906593947283258,-0.014580934681965146,2.1260365619973405e-4,0.8,0.35016354752099504,0.3647444822029602,122,SC,-0.014580934681965141
